state1,state2,lambda_sw
kaede_1,kaede_2,380
kikgr1_1,kikgr1_2,365
pscfp2_1,pscfp2_2,405
meos2_1,meos2_2,405
meos3.2_1,meos3.2_2,405
psmorange_1,psmorange_2,480
mmaple_1,mmaple_2,380
psmorange2_1,psmorange2_2,489
mclavgr2_1,mclavgr2_2,405
mkikgr_1,mkikgr_2,390
pagfp_off,pagfp_on,400
pamcherry1_off,pamcherry1_on,405
patagrfp_off,patagrfp_on,405
dreiklang_on,dreiklang_off,405
dreiklang_off,dreiklang_on,365
rsegfp_on,rsegfp_off,491
rsegfp_off,rsegfp_on,405
pamkate_off,pamkate_on,405
mirisfp_g_on,mirisfp_r_on,405
mirisfp_g_off,mirisfp_g_on,386
mirisfp_g_on,mirisfp_g_off,486
mirisfp_r_on,mirisfp_r_off,546
mirisfp_r_off,mirisfp_r_on,446
dronpa_on,dronpa_off,503
dronpa_off,dronpa_on,400
mgeosm_on,mgeosm_off,503
mgeosm_off,mgeosm_on,405
dendra2_g,dendra2_r,480
rsegfp2_off,rsegfp2_on,408
rsegfp2_on,rsegfp2_off,503
pcdronpa2_g,pcdronpa2_r,405
